Provinsi,GKM_SM1,GKM_SM2,GKnM_SMT1,GKnM_SM2,Gini Rasio_SM1,Gini Rasio_SM2,IKK (P1) dalam Persen_SM1,IKK (P1) dalam Persen_SM2,IKK (P2) dalam Persen_SM1,IKK (P2) dalam Persen_SM2,Jumlah Penduduk Miskin (Ribu Jiwa)_SM1,Jumlah Penduduk Miskin (Ribu Jiwa)_SM2,Persentase Penduduk Miskin_SM1,Persentase Penduduk Miskin_SM2
ACEH,353915,362463.34,100825,104778.98,0.285,0.273,3.42,3.41,0.93,0.89,667.4,668.14,18.49,18.52
SUMATERA UTARA,333843,342317.79,87743,93173.79,0.272,0.257,1.64,1.53,0.44,0.36,630.13,605.02,9.3,9.05
SUMATERA BARAT,369087,370529.45,91162,95901.02,0.28,0.262,1.33,1.03,0.32,0.21,242.29,227.66,8.07,7.9
RIAU,357685,358620.5,114001,119824.94,0.288,0.292,1.33,1.17,0.35,0.29,326.86,322.05,8.09,7.86
JAMBI,312113,314945.87,86388,86819.11,0.308,0.295,1.12,0.92,0.3,0.19,163.07,164.97,6.75,6.8
SUMATERA SELATAN,289522,291450.87,85005,87600.96,0.316,0.296,2.48,1.98,0.65,0.45,689.71,689.85,13.17,13.05
BENGKULU,356600,356972.92,108824,117037,0.318,0.316,2.64,2.43,0.63,0.56,204.34,206.8,15.52,15.64
LAMPUNG,293926,299041.14,92038,93160.05,0.317,0.294,2.28,2.36,0.54,0.56,868.22,861.4,14.76,14.73
KEP. BANGKA BELITUNG,472431,495542.54,165869,176561.65,0.238,0.222,1.06,1.14,0.24,0.27,52.18,47.71,7.76,7.16
KEP. RIAU,396882,405549.51,131906,137637.64,0.289,0.262,2.06,1.29,0.61,0.22,32.48,26.9,10.77,11.26
DKI JAKARTA,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JAWA BARAT,274016,276660.33,90136,91144.48,0.322,0.315,1.84,1.36,0.48,0.28,1287.92,1203.08,10.25,10.07
JAWA TENGAH,259564,265809.06,88642,89496.8,0.336,0.315,2.14,1.83,0.52,0.38,2181.04,2157.86,12.99,12.8
DI YOGYAKARTA,270706,271414.73,95550,98191.36,0.35,0.326,2.48,1.85,0.59,0.34,154.86,151.78,15.12,14.71
JAWA TIMUR,272436,279054.29,89057,89738.64,0.327,0.322,2.8,3.04,0.73,0.87,2874.97,2834.05,15.3,15.21
BANTEN,293446,301349.07,96862,104616.34,0.283,0.299,1.14,1.45,0.28,0.48,267.55,286.6,7.33,7.67
BALI,264685,267058.95,108143,109674.42,0.317,0.31,1.04,0.67,0.28,0.15,77.73,69.89,5.38,5.08
NUSA TENGGARA BARAT,271987,272119.77,84374,91635.69,0.333,0.343,2.45,2.41,0.6,0.59,367.08,360.5,13.72,13.69
NUSA TENGGARA TIMUR,273466,275681.29,63119,66622.03,0.297,0.327,4.59,5.62,1.22,1.82,1020.21,1020.05,24.74,24.65
KALIMANTAN BARAT,320747,326706.96,81602,87098.79,0.277,0.278,1.36,1.48,0.32,0.35,302.56,290.37,9.16,8.84
KALIMANTAN TENGAH,347960,356962.1,78636,83686.68,0.295,0.318,0.76,0.94,0.18,0.24,88.95,88.32,5.47,5.45
KALIMANTAN SELATAN,313712,323191.57,100783,101478.29,0.285,0.279,0.76,0.88,0.17,0.21,120.33,124.33,5.4,5.56
KALIMANTAN TIMUR,424731,435063.8,145280,154524.61,0.287,0.297,1.23,1.24,0.27,0.26,118.44,114.05,9.84,9.65
KALIMANTAN UTARA,413858,430969.75,147823,150711.73,0.278,0.283,1.28,0.97,0.31,0.19,27.81,26.99,9.36,9.48
SULAWESI UTARA,276149,286801.86,71873,74105.35,0.349,0.368,1.77,2.05,0.44,0.5,129.43,126.93,10.48,10.57
SULAWESI TENGAH,314521,326791.62,91186,91243.29,0.307,0.28,2.88,2.68,0.8,0.78,335.18,329.65,15.51,15.41
SULAWESI SELATAN,236336,240452.99,63581,65796.53,0.361,0.353,2.07,2.52,0.5,0.82,624.7,610.94,12.24,12.15
SULAWESI TENGGARA,230677,240343.33,68026,71248.56,0.37,0.356,2.86,2.61,0.76,0.71,240.69,231.8,14.77,14.07
GORONTALO,249937,255886.59,64790,67246.78,0.383,0.413,4.5,4.95,1.13,1.4,174.45,166.41,24.09,23.86
SULAWESI BARAT,248042,249420.31,70469,74140.43,0.335,0.311,1.92,1.74,0.5,0.41,121.02,121.38,11.75,11.66
MALUKU,351733,364361.16,96604,102147.06,0.291,0.288,5.29,5.37,1.54,1.56,274.19,270.92,26.64,26.61
MALUKU UTARA,320771,329212.07,84786,86329.06,0.266,0.277,0.97,1.5,0.19,0.45,68.12,67.03,7.78,7.58
PAPUA BARAT,407711,439399.22,98229,105223.48,0.424,0.427,10.11,10.32,3.9,3.88,195.14,192.42,35.31,34.29
PAPUA,378887,392449.52,103112,107165.87,0.384,0.416,8.98,7.94,3.07,2.45,876.35,877.44,36.63,36.65
INDONESIA,294302,299883.76,89606,92270.22,0.324,0.319,2.37,2.32,0.63,0.62,15805.43,15543.31,13.2,13.1
