Provinsi,GKM_SM1,GKM_SM2,GKnM_SMT1,GKnM_SM2,Gini Rasio_SM1,Gini Rasio_SM2,IKK (P1) dalam Persen_SM1,IKK (P1) dalam Persen_SM2,IKK (P2) dalam Persen_SM1,IKK (P2) dalam Persen_SM2,Jumlah Penduduk Miskin (Ribu Jiwa)_SM1,Jumlah Penduduk Miskin (Ribu Jiwa)_SM2,Persentase Penduduk Miskin_SM1,Persentase Penduduk Miskin_SM2
ACEH,351777,360318.19,134561,136434.18,0.344,0.338,1.58,1.52,0.37,0.35,172.09,163.36,10.44,9.63
SUMATERA UTARA,328225,345167.42,120138,120623.05,0.335,0.33,1.49,1.4,0.38,0.31,694.85,686.97,9.15,8.84
SUMATERA BARAT,356907,367319.03,139235,140237.58,0.338,0.308,0.66,0.88,0.14,0.21,114.84,125.58,4.86,4.99
RIAU,342425,350004.22,148954,149398.25,0.356,0.379,0.99,0.86,0.22,0.16,173.57,172.21,6.35,6.25
JAMBI,358637,363152.88,129154,129210.95,0.354,0.351,1.68,1.96,0.37,0.57,118.62,116.5,10.41,10.08
SUMATERA SELATAN,313669,314491.52,124314,126557.47,0.381,0.354,2.08,2.2,0.52,0.6,378.55,386.56,12.18,12.43
BENGKULU,380731,388650.84,136223,142003.98,0.394,0.388,2.51,2.18,0.56,0.42,97.47,96.74,15.25,14.94
LAMPUNG,321620,327530.49,122626,125522.76,0.367,0.338,1.48,1.39,0.33,0.31,228.82,230.2,9.27,9.06
KEP. BANGKA BELITUNG,442588,469429.91,180347,186718.59,0.296,0.289,0.36,0.38,0.06,0.06,24.09,22.22,3.09,2.78
KEP. RIAU,373829,376276.75,190164,194632.97,0.325,0.333,0.82,0.5,0.18,0.09,99.2,98.46,5.45,5.15
DKI JAKARTA,394158,408790.86,198949,198987.31,0.394,0.39,0.51,0.5,0.11,0.11,373.12,372.26,3.57,3.55
JAWA BARAT,263583,266339.96,105097,105920.36,0.418,0.413,1.13,1.06,0.29,0.26,2327.87,2336.32,6.47,6.33
JAWA TENGAH,254959,259615.71,98281,99910.2,0.4,0.377,1.57,1.43,0.38,0.3,1716.16,1709.56,9.73,9.67
DI YOGYAKARTA,301252,305494.64,125328,126522.87,0.442,0.421,1.91,1.58,0.47,0.35,305.24,298.47,11.03,10.73
JAWA TIMUR,282265,296061.99,102744,103272.04,0.387,0.375,1.17,1.2,0.28,0.28,1457.61,1458.09,7.06,6.97
BANTEN,316089,331095.52,132429,137476.93,0.386,0.362,0.69,0.68,0.16,0.16,393.8,382.13,4.38,4.24
BALI,263613,268910.39,123953,125078.78,0.381,0.363,0.5,0.44,0.12,0.1,94.03,98.45,3.32,3.36
NUSA TENGGARA BARAT,279003,284496.52,98141,99982.72,0.398,0.422,3.24,2.35,0.91,0.51,370.38,375.12,15.94,15.66
NUSA TENGGARA TIMUR,299104,301642.59,119421,120212.55,0.358,0.352,1.61,1.03,0.36,0.2,121.95,114.06,9.94,9.09
KALIMANTAN BARAT,323125,331134.98,100003,103335.38,0.377,0.35,0.84,0.68,0.21,0.15,84.52,79.36,5.03,4.58
KALIMANTAN TENGAH,290898,305217.37,96241,98329.95,0.387,0.369,0.88,0.63,0.27,0.14,47.98,48.13,4.7,4.56
KALIMANTAN SELATAN,288601,294677.37,152617,153198.22,0.365,0.357,0.61,0.61,0.16,0.15,68.7,70.68,3.54,3.6
KALIMANTAN TIMUR,394601,411445.49,181664,190174,0.35,0.347,0.66,0.54,0.16,0.1,100.45,108.34,4.14,4.36
KALIMANTAN UTARA,432127,471678.09,172564,175652.25,0.31,0.307,0.96,0.87,0.23,0.16,22.54,22.6,5.46,5.16
SULAWESI UTARA,253610,263853.07,86738,88912.17,0.402,0.364,0.77,0.63,0.16,0.11,63.88,62.11,5.13,4.82
SULAWESI TENGAH,309458,311845.12,124955,125852.35,0.37,0.331,2.02,1.3,0.57,0.42,85.03,83.84,10.15,9.5
SULAWESI SELATAN,218173,230867.58,96376,96857.57,0.392,0.391,0.83,0.56,0.22,0.11,167.93,168.7,4.61,4.48
SULAWESI TENGGARA,220497,232433.85,90744,91842.18,0.42,0.41,0.73,1.27,0.13,0.28,66.41,70.05,6.56,6.87
GORONTALO,237890,246148.39,80305,81220.4,0.39,0.397,0.78,0.3,0.16,0.03,24.06,21.89,5.26,4.45
SULAWESI BARAT,255642,259387.33,65681,67038.64,0.421,0.451,1.22,0.98,0.27,0.14,30.76,31.45,9.64,9.8
MALUKU,342923,356495.44,124804,127820.09,0.314,0.294,0.94,0.57,0.22,0.06,45.89,46.92,6.22,6.15
MALUKU UTARA,330654,331690.15,98243,118003.18,0.345,0.308,0.69,0.62,0.19,0.23,13.34,14.9,3.8,4.21
PAPUA BARAT,383367,421470.88,146928,162059.55,0.331,0.318,0.71,0.89,0.16,0.18,19.33,21.25,5.1,5.57
PAPUA,361012,378574.78,181530,188327.81,0.312,0.294,0.84,0.76,0.24,0.23,41.28,37.78,4.51,4.01
INDONESIA,295272,303909.85,120342,121860.22,0.401,0.391,1.17,1.08,0.29,0.25,10144.37,10131.28,7.02,6.89
