R_POTEMP,R_TEMP,R_DEPTH,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_PRES,R_O2,R_O2Sat
10.5,10.5,0,33.44,25.64,233,0,0,3.105388,50.474572
10.46,10.46,8,33.44,25.65,232.5,0.01,8,3.105388,50.474572
10.46,10.46,10,33.437,25.65,232.8,0.02,10,3.105388,50.474572
10.45,10.45,19,33.42,25.64,234.1,0.04,19,3.105388,50.474572
10.45,10.45,20,33.421,25.64,234,0.04,20,3.105388,50.474572
10.45,10.45,30,33.431,25.65,233.5,0.07,30,3.105388,50.474572
10.45,10.45,39,33.44,25.65,233,0.09,39,3.105388,50.474572
10.23,10.24,50,33.424,25.68,231,0.11,50,3.105388,50.474572
10.05,10.06,58,33.42,25.71,228.5,0.13,58,3.105388,50.474572
9.85,9.86,75,33.494,25.8,220.1,0.17,75,3.105388,50.474572
9.82,9.83,78,33.51,25.81,218.6,0.18,78,3.105388,50.474572
9.66,9.67,100,33.58,25.9,211.2,0.22,101,3.105388,50.474572
9.49,9.5,117,33.64,25.97,204.5,0.26,118,3.105388,50.474572
9.31,9.32,125,33.689,26.04,198.2,0.27,126,3.105388,50.474572
8.74,8.76,150,33.847,26.25,178.3,0.32,151,3.105388,50.474572
8.69,8.71,152,33.86,26.27,176.7,0.32,153,3.105388,50.474572
8.51,8.53,200,33.876,26.31,173.6,0.41,201,3.105388,50.474572
8.43,8.45,221,33.828065,26.120341,192.307163,0.44,222,3.105388,50.474572
8.23,8.26,250,33.926,26.39,166.8,0.49,252,3.105388,50.474572
7.93,7.96,285,33.98,26.48,158.9,0.55,287,3.105388,50.474572
7.74,7.77,300,33.99,26.51,155.7,0.57,302,3.105388,50.474572
6.77,6.8,373,34.04,26.69,139.6,0.68,376,3.105388,50.474572
6.51,6.55,400,34.056,26.74,135.4,0.72,403,3.105388,50.474572
5.74,5.78,500,34.113,26.88,122.4,0.85,504,3.105388,50.474572
5.25,5.3,598,34.16,26.98,114,0.96,603,3.105388,50.474572
5.24,5.29,600,34.161,26.98,113.9,0.97,605,3.105388,50.474572
4.95,5.01,700,34.21,27.05,107.8,1.08,706,3.105388,50.474572
4.66,4.72,800,34.261,27.12,101.5,1.18,807,3.105388,50.474572
4.37,4.44,896,34.31,27.19,95.4,1.28,904,3.105388,50.474572
10.1,10.1,0,32.95,25.33,262.9,0,0,3.105388,50.474572
9.89,9.89,10,32.94,25.36,260.5,0.02,10,3.105388,50.474572
9.75,9.75,20,32.939,25.38,258.6,0.05,20,3.105388,50.474572
9.69,9.69,24,32.95,25.4,256.9,0.06,24,3.105388,50.474572
9.52,9.52,30,33.013,25.48,249.7,0.07,30,3.105388,50.474572
9.05,9.06,47,33.24,25.73,226.1,0.11,47,3.105388,50.474572
9.03,9.04,50,33.272,25.76,223.5,0.12,50,3.105388,50.474572
8.91,8.92,71,33.46,25.92,208.1,0.17,71,3.105388,50.474572
8.82,8.83,75,33.488,25.96,204.7,0.17,75,3.105388,50.474572
8.36,8.37,94,33.6,26.12,189.9,0.21,95,3.105388,50.474572
8.25,8.26,100,33.631,26.16,186.1,0.22,101,3.105388,50.474572
7.84,7.85,125,33.745,26.31,172.2,0.27,126,3.105388,50.474572
