R_POTEMP,R_TEMP,R_DEPTH,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_PRES,R_O2,R_O2Sat
10.5,0.000204,0.000123,0.000212,0.000209,0.00029,0.0002,0.000123,0.000201,0.000213
10.46,0.000204,0.000127,0.000212,0.000209,0.00029,0.0002,0.000127,0.000201,0.000213
10.46,0.000204,0.000128,0.000212,0.000209,0.00029,0.0002,0.000128,0.000201,0.000213
10.45,0.000204,0.000133,0.000212,0.000209,0.000289,0.0002,0.000132,0.000201,0.000213
10.45,0.000204,0.000133,0.000212,0.000209,0.000288,0.0002,0.000133,0.000201,0.000213
10.45,0.000204,0.000139,0.000211,0.000209,0.000286,0.0002,0.000138,0.000201,0.000213
10.45,0.000203,0.000144,0.000211,0.000209,0.000283,0.0002,0.000143,0.000201,0.000212
10.23,0.000203,0.00015,0.000211,0.000208,0.000279,0.0002,0.00015,0.000201,0.000212
10.05,0.000203,0.000155,0.000211,0.000208,0.000275,0.0002,0.000154,0.000201,0.000212
9.85,0.000203,0.000165,0.000211,0.000208,0.000265,0.0002,0.000165,0.000201,0.000212
9.82,0.000203,0.000167,0.000211,0.000208,0.000263,0.0002,0.000167,0.000201,0.000211
9.66,0.000202,0.00018,0.00021,0.000208,0.000248,0.0002,0.00018,0.000201,0.00021
9.49,0.000202,0.000189,0.000209,0.000207,0.000235,0.0002,0.000189,0.000201,0.000209
9.31,0.000202,0.000194,0.000209,0.000207,0.000229,0.0002,0.000194,0.000201,0.000208
8.74,0.000201,0.000208,0.000208,0.000206,0.000207,0.0002,0.000208,0.0002,0.000207
8.69,0.000201,0.000209,0.000208,0.000206,0.000206,0.0002,0.000209,0.0002,0.000207
8.51,0.0002,0.000222,0.000204,0.000203,0.000185,0.0002,0.000222,0.0002,0.000201
8.43,0.0002,0.000222,0.000202,0.000202,0.000186,0.0002,0.000222,0.0002,0.000198
8.23,0.000199,0.00023,0.000201,0.000201,0.000169,0.0002,0.000231,0.0002,0.000197
7.93,0.000199,0.000235,0.000199,0.0002,0.000159,0.0002,0.000235,0.0002,0.000194
7.74,0.000198,0.000237,0.000199,0.000199,0.000156,0.0002,0.000237,0.0002,0.000193
6.77,0.000198,0.000242,0.000196,0.000197,0.000143,0.0002,0.000242,0.000199,0.00019
6.51,0.000197,0.000243,0.000196,0.000197,0.00014,0.0002,0.000243,0.000199,0.000189
5.74,0.000197,0.000245,0.000193,0.000195,0.000131,0.0002,0.000246,0.000199,0.000186
5.25,0.000196,0.000247,0.000192,0.000194,0.000127,0.0002,0.000247,0.000199,0.000184
5.24,0.000196,0.000247,0.000192,0.000194,0.000127,0.0002,0.000247,0.000199,0.000184
4.95,0.000196,0.000247,0.000191,0.000193,0.000124,0.0002,0.000248,0.000199,0.000182
4.66,0.000196,0.000248,0.00019,0.000193,0.000121,0.0002,0.000248,0.000199,0.000181
4.37,0.000196,0.000248,0.00019,0.000192,0.00012,0.0002,0.000249,0.000199,0.00018
10.1,0.000203,0.000123,0.000208,0.000207,0.000293,0.0002,0.000123,0.000201,0.000209
9.89,0.000202,0.000128,0.000209,0.000207,0.000292,0.0002,0.000127,0.000201,0.000209
9.75,0.000202,0.000132,0.000209,0.000207,0.000291,0.0002,0.000132,0.000201,0.000209
9.69,0.000202,0.000134,0.000209,0.000207,0.00029,0.0002,0.000134,0.000201,0.000209
9.52,0.000202,0.000138,0.000209,0.000207,0.000288,0.0002,0.000137,0.000201,0.00021
9.05,0.000202,0.000149,0.000211,0.000209,0.000279,0.0002,0.000148,0.000201,0.000213
9.03,0.000202,0.000151,0.000212,0.000209,0.000278,0.0002,0.00015,0.000201,0.000213
8.91,0.000202,0.000165,0.000212,0.00021,0.000264,0.0002,0.000165,0.000201,0.000214
8.82,0.000202,0.000168,0.000212,0.00021,0.00026,0.0002,0.000167,0.000201,0.000214
8.36,0.000202,0.000181,0.000212,0.00021,0.000244,0.0002,0.000182,0.000201,0.000214
8.25,0.000202,0.000185,0.000212,0.000209,0.000238,0.0002,0.000186,0.000201,0.000213
7.84,0.000201,0.0002,0.000211,0.000208,0.000217,0.0002,0.0002,0.000201,0.000211
7.63,0.000201,0.000208,0.000209,0.000208,0.000206,0.0002,0.000208,0.000201,0.000209
7.49,0.0002,0.000212,0.000209,0.000207,0.000199,0.0002,0.000212,0.000201,0.000208
6.96,0.000199,0.000225,0.000206,0.000205,0.000178,0.0002,0.000225,0.0002,0.000204
6.83,0.000199,0.000227,0.000205,0.000204,0.000173,0.0002,0.000227,0.0002,0.000202
6.3,0.000198,0.000235,0.000201,0.000202,0.000159,0.0002,0.000235,0.0002,0.000197
6.03,0.000198,0.000238,0.0002,0.0002,0.000152,0.0002,0.000238,0.0002,0.000195
5.92,0.000198,0.000239,0.000199,0.0002,0.000149,0.0002,0.000239,0.0002,0.000194
5.57,0.000197,0.000243,0.000196,0.000197,0.000139,0.0002,0.000243,0.000199,0.00019
5.47,0.000197,0.000244,0.000196,0.000197,0.000137,0.0002,0.000244,0.000199,0.000189
4.98,0.000196,0.000246,0.000194,0.000195,0.00013,0.0002,0.000246,0.000199,0.000186
4.7,0.000196,0.000247,0.000193,0.000194,0.000127,0.0002,0.000247,0.000199,0.000184
4.57,0.000196,0.000247,0.000192,0.000194,0.000125,0.0002,0.000247,0.000199,0.000184
4.28,0.000196,0.000247,0.000191,0.000193,0.000122,0.0002,0.000248,0.000199,0.000182
4.02,0.000196,0.000248,0.00019,0.000193,0.00012,0.0002,0.000248,0.000199,0.000181
3.93,0.000196,0.000248,0.00019,0.000192,0.000119,0.0002,0.000248,0.000199,0.000181
3.78,0.000196,0.000248,0.00019,0.000192,0.000119,0.0002,0.000249,0.000199,0.00018
3.55,0.000196,0.000248,0.000189,0.000192,0.000118,0.0002,0.000249,0.000199,0.00018
3.3,0.000196,0.000248,0.000189,0.000191,0.000117,0.0002,0.000249,0.000199,0.000179
3.06,0.000195,0.000248,0.000188,0.000191,0.000116,0.0002,0.000249,0.000199,0.000178
3.05,0.000195,0.000248,0.000188,0.000191,0.000116,0.0002,0.000249,0.000199,0.000178
10.2,0.000202,0.000123,0.000206,0.000205,0.000294,0.0002,0.000123,0.0002,0.000206
10.05,0.000202,0.000127,0.000206,0.000205,0.000294,0.0002,0.000127,0.0002,0.000206
9.95,0.000202,0.000132,0.000206,0.000205,0.000292,0.0002,0.000131,0.0002,0.000206
9.94,0.000202,0.000133,0.000206,0.000205,0.000292,0.0002,0.000132,0.0002,0.000206
9.92,0.000202,0.000136,0.000206,0.000205,0.000291,0.0002,0.000136,0.0002,0.000206
9.87,0.000202,0.00014,0.000206,0.000205,0.000289,0.0002,0.00014,0.0002,0.000206
9.61,0.000202,0.000146,0.000207,0.000205,0.000285,0.0002,0.000145,0.0002,0.000207
9.65,0.000202,0.000146,0.000207,0.000205,0.000285,0.0002,0.000146,0.0002,0.000206
9.89,0.000202,0.000148,0.000206,0.000205,0.000284,0.0002,0.000147,0.0002,0.000205
9.64,0.000201,0.000157,0.000206,0.000205,0.000276,0.0002,0.000156,0.0002,0.000205
9.61,0.000201,0.000158,0.000206,0.000205,0.000275,0.0002,0.000158,0.0002,0.000205
9.22,0.000202,0.000174,0.000207,0.000206,0.000256,0.0002,0.000174,0.0002,0.000207
9.2,0.000202,0.000175,0.000207,0.000206,0.000256,0.0002,0.000175,0.0002,0.000207
8.78,0.000201,0.000191,0.000208,0.000206,0.000234,0.0002,0.000191,0.0002,0.000207
8.35,0.000201,0.000205,0.000207,0.000206,0.000212,0.0002,0.000205,0.0002,0.000206
7.69,0.0002,0.000222,0.000205,0.000204,0.000185,0.0002,0.000221,0.0002,0.000202
7.56,0.0002,0.000224,0.000204,0.000204,0.000181,0.0002,0.000224,0.0002,0.000202
6.91,0.000199,0.000233,0.000201,0.000201,0.000162,0.0002,0.000234,0.0002,0.000197
6.44,0.000198,0.000237,0.000199,0.0002,0.000153,0.0002,0.000238,0.0002,0.000194
6.34,0.000198,0.000238,0.000199,0.0002,0.000151,0.0002,0.000239,0.0002,0.000194
5.51,0.000197,0.000244,0.000196,0.000197,0.000137,0.0002,0.000244,0.000199,0.000189
4.98,0.000196,0.000246,0.000194,0.000195,0.00013,0.0002,0.000246,0.000199,0.000186
4.93,0.000196,0.000246,0.000194,0.000195,0.00013,0.0002,0.000246,0.000199,0.000186
4.54,0.000196,0.000247,0.000192,0.000194,0.000126,0.0002,0.000247,0.000199,0.000184
4.26,0.000196,0.000247,0.000191,0.000193,0.000123,0.0002,0.000248,0.000199,0.000182
4.08,0.000196,0.000248,0.00019,0.000193,0.000121,0.0002,0.000248,0.000199,0.000181
4.05,0.000196,0.000248,0.00019,0.000193,0.000121,0.0002,0.000248,0.000199,0.000181
3.82,0.000196,0.000248,0.00019,0.000192,0.000119,0.0002,0.000249,0.000199,0.00018
3.59,0.000196,0.000248,0.000189,0.000192,0.000118,0.0002,0.000249,0.000199,0.00018
3.35,0.000196,0.000248,0.000189,0.000191,0.000117,0.0002,0.000249,0.000199,0.000179
3.27,0.000196,0.000248,0.000189,0.000191,0.000116,0.0002,0.000249,0.000199,0.000179
10.4,0.000202,0.000123,0.000206,0.000205,0.000294,0.0002,0.000123,0.0002,0.000206
10.22,0.000202,0.000126,0.000207,0.000205,0.000294,0.0002,0.000126,0.0002,0.000206
10.2,0.000202,0.000127,0.000206,0.000205,0.000294,0.0002,0.000127,0.0002,0.000206
10.14,0.000202,0.000131,0.000206,0.000205,0.000293,0.0002,0.000131,0.0002,0.000206
10.14,0.000202,0.000132,0.000206,0.000205,0.000293,0.0002,0.000131,0.0002,0.000206
10.07,0.000202,0.000136,0.000206,0.000205,0.000291,0.0002,0.000136,0.0002,0.000205
9.97,0.000205,0.000149,0.000217,0.000213,0.000276,0.0002,0.000148,0.000201,0.00022
9.71,0.000202,0.000146,0.000206,0.000205,0.000285,0.0002,0.000145,0.0002,0.000206
9.41,0.000202,0.000153,0.000207,0.000205,0.00028,0.0002,0.000152,0.0002,0.000207
9.31,0.000202,0.000161,0.000208,0.000206,0.000272,0.0002,0.00016,0.000201,0.000207
9.26,0.000202,0.000167,0.000208,0.000206,0.000265,0.0002,0.000166,0.000201,0.000208
9.01,0.000202,0.000177,0.000209,0.000207,0.000251,0.0002,0.000177,0.000201,0.000209
8.59,0.000201,0.000194,0.000209,0.000207,0.000229,0.0002,0.000194,0.000201,0.000208
8.55,0.000201,0.000195,0.000209,0.000207,0.000227,0.0002,0.000195,0.000201,0.000208
8.3,0.000201,0.000208,0.000208,0.000206,0.000208,0.0002,0.000208,0.0002,0.000207
8.16,0.000201,0.000214,0.000207,0.000206,0.000197,0.0002,0.000214,0.0002,0.000205
7.69,0.0002,0.000224,0.000204,0.000204,0.000181,0.0002,0.000224,0.0002,0.000202
7.14,0.000199,0.000232,0.000202,0.000202,0.000166,0.0002,0.000232,0.0002,0.000198
7.06,0.000199,0.000233,0.000201,0.000201,0.000164,0.0002,0.000233,0.0002,0.000197
6.58,0.000198,0.000238,0.000199,0.000199,0.000153,0.0002,0.000238,0.0002,0.000194
6.35,0.000198,0.000235,0.000197,0.000198,0.000162,0.0002,0.000235,0.0002,0.000191
5.76,0.000197,0.000243,0.000196,0.000197,0.000139,0.0002,0.000243,0.000199,0.000189
5.1,0.000197,0.000245,0.000194,0.000195,0.000132,0.0002,0.000246,0.000199,0.000186
5.06,0.000196,0.000245,0.000193,0.000195,0.000131,0.0002,0.000246,0.000199,0.000186
4.6,0.000196,0.000247,0.000192,0.000194,0.000126,0.0002,0.000247,0.000199,0.000184
4.26,0.000196,0.000247,0.000191,0.000193,0.000122,0.0002,0.000248,0.000199,0.000182
